Year,PPG,APG,RPG,SPG,BPG,FG%,eFG%,2P%,3P%,FT%
1950,6.603312753516261,1.6529427758335111,,,,0.31810897435897434,0.31810897435897434,0.31810897435897434,,0.6836850649350649
1951,7.259842911079559,1.8424345410283445,4.115055339365166,,,0.3327413793103448,0.3327413793103448,0.3327413793103448,,0.7010231213872833
1952,7.943562246788918,2.059983316785458,4.599749023021049,,,0.3445,0.3445,0.3445,,0.691976923076923
1953,7.322402976608677,1.9053081676122527,4.1438676143594035,,,0.336775,0.336775,0.336775,,0.701811320754717
1954,7.03463793159751,1.7834644088297744,4.077254768102438,,,0.3434923076923077,0.3434923076923077,0.3434923076923077,,0.6784724409448819
1955,8.146222525862537,2.1863104345067823,4.683614061092677,,,0.34676146788990825,0.34676146788990825,0.34676146788990825,,0.6991603773584906
1956,8.943392916900105,2.252983962035829,4.967089599007358,,,0.36713207547169807,0.36713207547169807,0.36713207547169807,,0.7287547169811321
1957,9.000574639660078,1.72391813581984,5.163803066127017,,,0.3582336448598131,0.3582336448598131,0.3582336448598131,,0.7206285714285714
1958,9.117885494195793,1.6960507336628536,5.419782847226636,,,0.35210810810810816,0.35210810810810816,0.35210810810810816,,0.7118981481481482
1959,9.926581448142898,1.8779975953522179,5.488403848398969,,,0.38981818181818184,0.38981818181818184,0.38981818181818184,,0.7301401869158879
1960,10.099935449871923,1.999009884985686,5.782394996751004,,,0.38375213675213676,0.38375213675213676,0.38375213675213676,,0.691719298245614
1961,10.477537597279293,2.210745836072154,5.843187074996322,,,0.3864134615384615,0.3864134615384615,0.3864134615384615,,0.6988349514563107
1962,10.565754780622026,2.2164362155404467,5.490015060835764,,,0.394296,0.394296,0.394296,,0.6890983606557376
1963,9.87155779409906,2.0036016576653513,5.0623208090237375,,,0.41660150375939853,0.41660150375939853,0.41660150375939853,,0.6773939393939393
1964,9.684214152412602,1.9081860158413853,5.005719407240042,,,0.40960740740740736,0.40960740740740736,0.40960740740740736,,0.6836870229007633
1965,9.887552033084274,1.8293486896109052,5.415463674179232,,,0.40066666666666667,0.40066666666666667,0.40066666666666667,,0.7067286821705426
1966,10.313167544737821,2.0033224892442405,5.498049240018861,,,0.4099481481481481,0.4099481481481481,0.4099481481481481,,0.6900381679389312
1967,10.692236418771932,1.98533713173834,5.528070387542611,,,0.4195187969924812,0.4195187969924812,0.4195187969924812,,0.7030526315789474
1968,10.318414871409919,2.0547221790143344,5.147936851107308,,,0.41974011299435027,0.41974011299435027,0.41974011299435027,,0.6928959537572255
1969,10.313415579519306,2.076332998900469,5.420232293463833,,,0.41654854368932037,0.41654854368932037,0.41654854368932037,,0.675406862745098
1970,10.620599452953003,2.239308936807,4.9958925191338945,,,0.44548258706467664,0.44548258706467664,0.44548258706467664,,0.7348730964467005
1971,9.511099281849463,2.0652739251505605,4.652386961946979,,,0.42211475409836063,0.42211475409836063,0.42211475409836063,,0.7105458333333333
1972,9.715372856094394,2.161779595615677,4.590493864852756,,,0.4244431818181818,0.4244431818181818,0.4244431818181818,,0.7093939393939394
1973,8.99217025054179,2.096684595806497,4.428879695000738,,,0.4246329588014981,0.4246329588014981,0.4246329588014981,,0.7268996138996139
1974,9.208990259489275,2.2118752736512963,4.262559274224086,0.7696335163382607,0.4191135837062817,0.4394262295081967,0.4394262295081967,0.4394262295081967,,0.7265882352941176
1975,9.082592881720803,2.118624032038075,4.224549215804919,0.7938714913391294,0.37224822339873115,0.43704,0.43704,0.43704,,0.7345185185185185
1976,8.64557809098251,1.9575525637389548,4.0765616041250095,0.7559468797629338,0.37867492240795436,0.4358905109489051,0.4358905109489051,0.4358905109489051,,0.7261380597014925
1977,9.161418938952613,2.0022675085918427,4.116126968611273,0.7796762635274694,0.45220090504861365,0.4395196629213483,0.4395196629213483,0.4395196629213483,,0.7309176136363637
1978,9.301387425256042,2.1425947765181865,4.07651742431896,0.8223046716798732,0.4326907083853154,0.43956032171581766,0.43956032171581766,0.43956032171581766,,0.73098891966759
1979,9.522208855238798,2.183477674278572,3.9178684512454107,0.7898883538501525,0.4489712025706364,0.4607631578947368,0.4607631578947368,0.4607631578947368,,0.7370868263473054
1980,9.65027965043387,2.2778888679620883,4.054166984983449,0.82183487107752,0.4674354361026761,0.4574943820224719,0.461376404494382,0.4627303370786517,0.198,0.7401327683615819
1981,8.965941984078231,2.2156221120071526,3.651684701755174,0.7856139957836596,0.43200403280822947,0.45209366391184574,0.45536363636363636,0.4575509641873278,0.15306934306569345,0.7224971264367817
1982,9.11804599300906,2.0691549429955463,3.695441536268225,0.7207158578896884,0.4457907760625862,0.47000268096514747,0.47320911528150134,0.4758927613941019,0.17110616438356166,0.7106829268292684
1983,8.848568548913505,2.0988790891642157,3.7544829403174678,0.7316482913615076,0.46061271135613285,0.46058312020460357,0.46329156010230177,0.4664168797953964,0.1380796178343949,0.7098172323759792
1984,8.831957944874437,2.160192332592604,3.4766524694684247,0.7055044732787656,0.4239977657615788,0.47038011695906434,0.4739766081871345,0.47678947368421054,0.1763899613899614,0.7271531531531531
1985,8.788267861730844,2.0987713121941667,3.5418374062914952,0.7005964279045123,0.4432930475037188,0.4575110497237569,0.46128729281767955,0.4655386740331492,0.16301779359430604,0.7378314285714286
1986,8.792200106787517,2.11107103342553,3.531348596589895,0.7154110919949024,0.4241374903143621,0.45333333333333337,0.45869047619047615,0.4607777777777778,0.17325252525252527,0.7223387533875338
1987,8.791453563136796,2.1180113617450034,3.5747864726027148,0.7110282908841722,0.4323609675914309,0.4560503978779841,0.46263395225464193,0.4681803713527851,0.16903630363036304,0.7354305177111717
1988,8.603474039101568,2.091763001371097,3.4893271491252045,0.7085984410185484,0.4408878885232174,0.453438679245283,0.4629764150943396,0.46525355450236966,0.18939882697947213,0.7365917874396135
1989,8.548128549589611,2.002703643468161,3.512432803202331,0.7192578127958943,0.4075183222596954,0.4463738532110092,0.4564357798165138,0.45886206896551723,0.19882336182336183,0.7332375296912114
1990,8.41056574406409,2.021235089773028,3.4545140168122166,0.7014694636542957,0.4059760198543409,0.44160745614035085,0.4518421052631579,0.45284429824561406,0.21384533333333336,0.7244675615212528
1991,8.891092281152307,2.021226075372572,3.662829591350384,0.7163248137283892,0.4323107853529385,0.4586431818181818,0.4703568181818182,0.4712022727272727,0.20838692098092643,0.7365658198614319
1992,8.09804161542203,1.9473883894321538,3.407030506078391,0.6879783620505778,0.4179808978633829,0.44982119205298016,0.4628278145695364,0.462317880794702,0.21450670241286862,0.7284942528735632
1993,8.29340556505843,1.9170190324792977,3.4894012518147823,0.6935296775197337,0.4173716801995311,0.4528173719376392,0.46723608017817375,0.46901339285714283,0.2156849315068493,0.7228041474654378
