Player,Year,PPG,APG,RPG,SPG,BPG,FG%,eFG%,2P%,3P%,FT%,PTS,AST,TRB,STL,BLK,FG,FGA,MP,G,3P,3PA,2P,2PA
Curly Armstrong,1950,7.26984126984127,2.7936507936507935,,,,0.279,0.279,0.279,,0.705,458,176,,,,144,516,,63,,,144,516
Cliff Barker,1950,5.6938775510204085,2.2244897959183674,,,,0.372,0.372,0.372,,0.708,279,109,,,,102,274,,49,,,102,274
Leo Barnhorst,1950,6.537313432835821,2.08955223880597,,,,0.349,0.349,0.349,,0.698,438,140,,,,174,499,,67,,,174,499
Ed Bartels,1950,4.2,1.3333333333333333,,,,0.256,0.256,0.256,,0.559,63,20,,,,22,86,,15,,,22,86
Ralph Beard,1950,14.916666666666666,3.8833333333333333,,,,0.363,0.363,0.363,,0.762,895,233,,,,340,936,,60,,,340,936
Gene Berce,1950,3.3333333333333335,0.6666666666666666,,,,0.313,0.313,0.313,,0.0,10,2,,,,5,16,,3,,,5,16
Charlie Black,1950,10.169230769230769,2.5076923076923077,,,,0.278,0.278,0.278,,0.651,661,163,,,,226,813,,65,,,226,813
Nelson Bobb,1950,4.245614035087719,0.8070175438596491,,,,0.323,0.323,0.323,,0.626,242,46,,,,80,248,,57,,,80,248
Jake Bornheimer,1950,4.233333333333333,0.6666666666666666,,,,0.289,0.289,0.289,,0.667,254,40,,,,88,305,,60,,,88,305
Vince Boryla,1950,10.372881355932204,1.6101694915254237,,,,0.34,0.34,0.34,,0.764,612,95,,,,204,600,,59,,,204,600
Don Boven,1950,10.580645161290322,2.2096774193548385,,,,0.373,0.373,0.373,,0.688,656,137,,,,208,558,,62,,,208,558
Harry Boykoff,1950,12.770491803278688,2.442622950819672,,,,0.413,0.413,0.413,,0.775,779,149,,,,288,698,,61,,,288,698
Joe Bradley,1950,1.891304347826087,0.782608695652174,,,,0.269,0.269,0.269,,0.395,87,36,,,,36,134,,46,,,36,134
