Year,PPG,APG,RPG,SPG,BPG,FG%,eFG%,2P%,3P%,FT%
1950,7.003656769526037,1.7561437235513744,,,,0.3227085201793722,0.3227085201793722,0.3227085201793722,,0.6892602739726028
1951,6.260610200176222,1.355234493584006,3.9453028836723862,,,0.3289032258064516,0.3289032258064516,0.3289032258064516,,0.6936451612903226
1952,4.535891347126282,1.2746338181092465,3.27831564311464,,,0.3191,0.3191,0.3191,,0.6187666666666666
1953,4.9415901493480945,1.2838842911100765,2.9365297957601735,,,0.3100294117647059,0.3100294117647059,0.3100294117647059,,0.6752121212121213
1954,4.687942167479826,1.1179066161817364,2.9237940951273274,,,0.3215294117647059,0.3215294117647059,0.3215294117647059,,0.65459375
1955,5.15248386575023,1.358850334073534,3.080710539298316,,,0.3148857142857143,0.3148857142857143,0.3148857142857143,,0.65603125
1956,6.811839154370199,1.7424500903401021,4.189795847546954,,,0.3587586206896552,0.3587586206896552,0.3587586206896552,,0.7185517241379311
1957,6.104104391789931,1.0814362475646153,4.183635958950195,,,0.319,0.319,0.319,,0.661
1958,4.647174369195229,0.8866315442098666,3.1502920512406396,,,0.2979047619047619,0.2979047619047619,0.2979047619047619,,0.659
1959,6.591424901232171,1.2361276500706677,4.388509205442946,,,0.43376,0.43376,0.43376,,0.6966086956521739
1960,8.32913791154632,1.2071717266471598,5.704618778461599,,,0.3733157894736842,0.3733157894736842,0.3733157894736842,,0.5946842105263158
1961,8.165973916198189,1.9851525039221918,4.344290925244743,,,0.38355,0.38355,0.38355,,0.6588
1962,5.743982218371805,1.230007004587716,3.2703813843734615,,,0.36554285714285717,0.36554285714285717,0.36554285714285717,,0.6471515151515153
1963,6.560675966117194,1.3021323739403823,3.8998883049652457,,,0.40502777777777776,0.40502777777777776,0.40502777777777776,,0.5926285714285715
1964,6.0723066527503775,1.254677551274271,3.9651850235886097,,,0.3852173913043478,0.3852173913043478,0.3852173913043478,,0.6466000000000001
1965,6.401342622017719,1.121930657952123,4.130875001817408,,,0.37912,0.37912,0.37912,,0.69424
1966,6.719214212354729,1.2081080065366732,3.9667784788277998,,,0.35382608695652173,0.35382608695652173,0.35382608695652173,,0.6594761904761904
1967,5.926623920921022,0.9789589777121537,2.818963410208718,,,0.3820967741935484,0.3820967741935484,0.3820967741935484,,0.6783548387096774
1968,4.78704395522957,1.0967371136093214,2.410042394200569,,,0.37872727272727275,0.37872727272727275,0.37872727272727275,,0.65495
1969,5.215836043844666,0.9542848968285274,3.8672571668050737,,,0.37009302325581395,0.37009302325581395,0.37009302325581395,,0.6129268292682927
1970,7.50668332025551,1.6701035849147423,3.5557173417749723,,,0.44321212121212117,0.44321212121212117,0.44321212121212117,,0.6925806451612903
1971,5.897898555160163,1.159887115129195,3.2839545438898408,,,0.39512698412698416,0.39512698412698416,0.39512698412698416,,0.6752096774193548
1972,7.0427656496794375,1.2957144327816459,3.3134241114725937,,,0.4034893617021276,0.4034893617021276,0.4034893617021276,,0.6740425531914893
1973,4.928115968447534,0.9802165155385016,2.626714657510168,,,0.3924090909090909,0.3924090909090909,0.3924090909090909,,0.69225
1974,4.868228132710035,1.2808030912313786,2.610558998870021,0.4706534602570875,0.20233312256111477,0.41314285714285715,0.41314285714285715,0.41314285714285715,,0.7051025641025641
1975,5.88457066571356,1.3543150788170868,3.0535770409331695,0.5092918125460254,0.3198571027202253,0.4235,0.4235,0.4235,,0.7149215686274509
1976,5.894630058282068,1.1843988237543521,2.903622460160783,0.5612651358550379,0.27342843785042253,0.41113999999999995,0.41113999999999995,0.41113999999999995,,0.7011020408163265
1977,8.524232958173034,1.8175187980036915,3.9858931637168666,0.8241439697727412,0.48727235787380313,0.4361559633027523,0.4361559633027523,0.4361559633027523,,0.7137757009345794
1978,6.649416546779134,1.4327043021720853,2.990572266981356,0.6274542864306769,0.2938599592179306,0.4344035087719298,0.4344035087719298,0.4344035087719298,,0.682
1979,6.023780443066873,1.4051905927676884,2.381095225124772,0.5836395864831181,0.2625309142618955,0.4344117647058824,0.4344117647058824,0.4344117647058824,,0.7107346938775511
1980,6.643321319393994,1.4896297583569889,3.089975724285051,0.626887289431749,0.3128524197328067,0.4385,0.44259615384615386,0.44225,0.1915,0.7257692307692308
1981,5.711214108283585,1.3732836295823474,2.6635022676990414,0.542573310827047,0.3097514795656968,0.4255844155844156,0.42683116883116884,0.4304545454545455,0.10572549019607844,0.6602253521126761
1982,6.431640308215944,1.2974901756777835,2.856768692436535,0.5115850077291725,0.33352238415434043,0.4860634920634921,0.48836507936507934,0.49063492063492065,0.14711627906976743,0.6660327868852459
1983,5.557525992662791,1.3638596108742314,2.696705302969031,0.5664918681369607,0.3348432581915682,0.44245161290322577,0.44461290322580643,0.44970967741935486,0.10860416666666667,0.6438688524590164
1984,5.186988524929594,1.407779276709011,2.276853543744673,0.48325773262658783,0.31258452501060324,0.44596363636363634,0.4485454545454546,0.45432727272727275,0.16357575757575757,0.6963653846153846
1985,5.702139669985252,1.2498521493093528,2.809961227853585,0.5270538593530859,0.34946253299943414,0.425,0.42705084745762717,0.43400000000000005,0.10266666666666667,0.6684545454545454
1986,5.411083437614184,1.0196988170108068,2.8023456619583884,0.49096195028779305,0.3677701893535219,0.4396229508196721,0.44204918032786883,0.44534426229508195,0.15660975609756098,0.6294915254237288
1987,5.260203823131989,1.2845545251574975,2.504822847163957,0.5205241273527211,0.26223113003082926,0.4420483870967742,0.448741935483871,0.47080645161290324,0.14009615384615384,0.6901379310344827
1988,5.069677164033461,1.5515172103531847,2.1666196420054824,0.5603435692980128,0.25208358290262045,0.41220338983050847,0.4182542372881356,0.4249322033898305,0.17442857142857143,0.7143508771929825
1989,5.625010488481797,1.4557066186187906,2.1833757195605594,0.5369060962278074,0.23467657760060004,0.40423684210526317,0.4122236842105263,0.41472368421052636,0.15556896551724136,0.7016527777777778
1990,5.071254313983254,1.124603280314315,2.136288239361576,0.48806210722591825,0.2698871671343591,0.4004125,0.40622499999999995,0.41148749999999995,0.1340967741935484,0.6968441558441559
1991,5.0479702310928785,1.0707911925126834,2.2735153567829687,0.40997958795792,0.2937953067903435,0.43382191780821916,0.44313698630136983,0.44498630136986306,0.17600000000000002,0.6985972222222222
1992,5.240194526236001,1.2062414310572593,2.327829586142287,0.5101303093383492,0.30449402022367883,0.4261896551724138,0.43937931034482763,0.4452758620689655,0.1969777777777778,0.6892727272727274
