Player,Year,PTS,AST,TRB,STL,BLK,FG,FGA,MP,G,3P,3PA,2P,2PA
Curly Armstrong,1950,458,176,,,,144,516,,63,,,144,516
Cliff Barker,1950,279,109,,,,102,274,,49,,,102,274
Leo Barnhorst,1950,438,140,,,,174,499,,67,,,174,499
Ed Bartels,1950,63,20,,,,22,86,,15,,,22,86
Ralph Beard,1950,895,233,,,,340,936,,60,,,340,936
Gene Berce,1950,10,2,,,,5,16,,3,,,5,16
Charlie Black,1950,661,163,,,,226,813,,65,,,226,813
Nelson Bobb,1950,242,46,,,,80,248,,57,,,80,248
Jake Bornheimer,1950,254,40,,,,88,305,,60,,,88,305
Vince Boryla,1950,612,95,,,,204,600,,59,,,204,600
Don Boven,1950,656,137,,,,208,558,,62,,,208,558
Harry Boykoff,1950,779,149,,,,288,698,,61,,,288,698
Joe Bradley,1950,87,36,,,,36,134,,46,,,36,134
Bob Brannum,1950,713,205,,,,234,718,,59,,,234,718
Carl Braun,1950,1031,247,,,,373,1024,,67,,,373,1024
Frankie Brian,1950,1138,189,,,,368,1156,,64,,,368,1156
Price Brookfield,1950,34,1,,,,11,23,,7,,,11,23
Bob Brown,1950,724,101,,,,276,764,,62,,,276,764
Jim Browne,1950,47,8,,,,17,48,,31,,,17,48
Walt Budko,1950,595,146,,,,198,652,,66,,,198,652
Jack Burmaster,1950,598,179,,,,237,711,,61,,,237,711
Tommy Byrnes,1950,327,88,,,,120,397,,53,,,120,397
Bill Calhoun,1950,560,115,,,,207,549,,62,,,207,549
Don Carlson,1950,267,76,,,,99,290,,57,,,99,290
Bob Carpenter,1950,614,92,,,,212,617,,66,,,212,617
Jake Carter,1950,82,24,,,,23,75,,24,,,23,75
Al Cervi*,1950,573,264,,,,143,431,,56,,,143,431
John Chaney,1950,70,20,,,,25,86,,16,,,25,86
Leroy Chollet,1950,157,37,,,,61,179,,49,,,61,179
Bill Closs,1950,752,160,,,,283,898,,64,,,283,898
Paul Cloyd,1950,19,2,,,,7,26,,7,,,7,26
Jack Coleman,1950,590,153,,,,250,663,,68,,,250,663
Bobby Cook,1950,587,158,,,,222,620,,51,,,222,620
Ray Corley,1950,309,109,,,,117,370,,60,,,117,370
Jack Cotton,1950,276,65,,,,97,332,,54,,,97,332
Dillard Crocker,1950,723,85,,,,245,840,,53,,,245,840
Chink Crossin,1950,449,148,,,,185,574,,64,,,185,574
Fran Curran,1950,395,71,,,,98,235,,66,,,98,235
Jimmy Darden,1950,211,67,,,,78,243,,26,,,78,243
Bob Davies*,1950,895,294,,,,317,887,,64,,,317,887
Hook Dillon,1950,36,5,,,,10,55,,22,,,10,55
Earl Dodd,1950,15,6,,,,6,27,,9,,,6,27
Joe Dolhon,1950,443,155,,,,143,458,,64,,,143,458
Bob Doll,1950,315,108,,,,120,347,,47,,,120,347
Harry Donovan,1950,253,38,,,,90,275,,45,,,90,275
Andy Duncan,1950,310,42,,,,125,289,,67,,,125,289
Dike Eddleman,1950,826,142,,,,332,906,,64,,,332,906
Gene Englund,1950,360,41,,,,104,274,,46,,,104,274
Bob Evans,1950,142,55,,,,56,200,,47,,,56,200
Johnny Ezersky,1950,413,86,,,,143,487,,54,,,143,487
Bob Feerick,1950,483,127,,,,172,500,,60,,,172,500
